epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,63.6804,0.70902,1.45275,1.09924,0.9707,0.95462,0.98512,0.87121,0.47821,0.59694,0.92992,0.00996212,0.00332071,0.00996212,0.00332071,0.00996212,0.00332071,0.00996212,0.00332071
2,116.538,0.7223,0.7943,1.08113,0.96177,0.92244,0.97296,0.84586,0.51343,0.51489,0.96418,0.0197645,0.00658817,0.0197645,0.00658817,0.0197645,0.00658817,0.0197645,0.00658817
3,162.087,0.7927,0.7597,1.12723,0.72079,0.5821,0.64643,0.4911,0.97489,1.43631,1.2953,0.0293689,0.00978962,0.0293689,0.00978962,0.0293689,0.00978962,0.0293689,0.00978962
4,207.411,0.85993,0.77009,1.16499,0.7893,0.61469,0.71547,0.56998,0.85473,1.17786,1.21146,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,252.555,0.79089,0.67726,1.12758,0.94128,0.93812,0.97162,0.84342,0.55194,0.45821,0.99899,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,298.102,0.74885,0.62646,1.10637,0.96152,0.94849,0.98389,0.87212,0.50582,0.39569,0.96263,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,343.165,0.71185,0.58554,1.08488,0.98171,0.95226,0.98627,0.90309,0.44423,0.34637,0.92139,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,388.606,0.68561,0.54822,1.07158,0.97,0.94701,0.98115,0.89368,0.44043,0.37675,0.91682,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,433.399,0.66493,0.53249,1.06278,0.96083,0.91089,0.96202,0.84143,0.55832,0.44857,0.99069,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,478.545,0.6425,0.5046,1.04863,0.98836,0.97896,0.99406,0.93004,0.37062,0.27531,0.87447,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,523.252,0.62978,0.49322,1.04242,0.98038,0.98515,0.99421,0.93525,0.37018,0.26997,0.87562,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,567.971,0.62755,0.48467,1.0402,0.99126,0.98225,0.9945,0.94241,0.3559,0.2549,0.86886,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,613.166,0.61217,0.47405,1.0327,0.98894,0.98061,0.99449,0.93814,0.37161,0.26273,0.86913,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,658.73,0.59131,0.45605,1.01824,0.97895,0.98226,0.99366,0.94265,0.34288,0.26006,0.86068,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,703.481,0.58504,0.45103,1.01828,0.99163,0.98185,0.99462,0.94691,0.33449,0.23571,0.85597,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,748.956,0.57878,0.43836,1.01442,0.98629,0.97401,0.99351,0.94337,0.33985,0.25184,0.86326,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,794.44,0.5787,0.43323,1.01168,0.99045,0.98357,0.99456,0.94676,0.34562,0.2374,0.86365,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,839.604,0.57186,0.43358,1.00792,0.98886,0.99092,0.99481,0.95044,0.323,0.23078,0.84943,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,884.897,0.56468,0.42663,1.009,0.99467,0.98391,0.99475,0.95434,0.31096,0.22328,0.84337,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,930.279,0.5479,0.41647,0.99952,0.99707,0.9829,0.9948,0.9538,0.31431,0.22497,0.84211,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,975.628,0.55443,0.40907,1.00221,0.99406,0.9868,0.99472,0.95746,0.30579,0.20953,0.839,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1020.68,0.53451,0.39803,0.98889,0.99543,0.98792,0.99487,0.96199,0.30263,0.20489,0.83986,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1066.34,0.53403,0.39456,0.99153,0.99295,0.98807,0.99485,0.96076,0.29612,0.20244,0.83698,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1111.09,0.53379,0.39314,0.99092,0.99782,0.98845,0.99494,0.9632,0.28698,0.19774,0.82801,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1156.36,0.53334,0.39088,0.98826,0.99515,0.98804,0.99486,0.96832,0.28214,0.19537,0.82822,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1201.57,0.51984,0.37744,0.98347,0.99791,0.98696,0.99492,0.96977,0.28323,0.19234,0.82566,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1246.72,0.51815,0.37529,0.98364,0.99544,0.98969,0.99492,0.96562,0.27425,0.18462,0.82266,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1291.3,0.52555,0.3763,0.98551,0.99446,0.99134,0.99466,0.96452,0.28149,0.19259,0.8274,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1336.27,0.51771,0.37103,0.98519,0.99709,0.98843,0.99493,0.96762,0.26758,0.18401,0.81939,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1381.1,0.50664,0.36546,0.9764,0.99416,0.9934,0.99493,0.9696,0.26914,0.1801,0.8197,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1426.01,0.50692,0.36631,0.97679,0.99627,0.99051,0.99496,0.9718,0.26617,0.17632,0.82202,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1471.03,0.5065,0.36322,0.97788,0.99581,0.98845,0.99492,0.96757,0.26631,0.18196,0.81789,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1516.4,0.49942,0.358,0.97172,0.99709,0.98943,0.99495,0.97005,0.26096,0.17306,0.81498,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1561.34,0.49813,0.35618,0.97144,0.9961,0.99216,0.99495,0.9729,0.25953,0.17417,0.81491,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1606.69,0.50075,0.35389,0.96975,0.99792,0.992,0.99499,0.97421,0.25763,0.16994,0.81378,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1651.71,0.49311,0.35325,0.96901,0.99669,0.99365,0.99495,0.97208,0.25792,0.16545,0.81596,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1697.25,0.48675,0.34161,0.96652,0.99341,0.99563,0.99498,0.97031,0.2545,0.16541,0.81483,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1742.55,0.48514,0.34552,0.9646,0.99463,0.99375,0.99494,0.97218,0.25552,0.16807,0.81582,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1787.65,0.48709,0.34578,0.96691,0.99669,0.99287,0.99497,0.97385,0.25036,0.16214,0.81098,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1833.44,0.48802,0.34101,0.97023,0.99627,0.99262,0.99493,0.9741,0.24666,0.16191,0.81071,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1877.67,0.48009,0.33658,0.96614,0.99669,0.9934,0.99498,0.97674,0.24605,0.15756,0.80834,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1922.89,0.47335,0.33334,0.96265,0.99533,0.99422,0.99498,0.97721,0.24521,0.15595,0.80769,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1968.16,0.47615,0.33419,0.96536,0.99776,0.99299,0.99498,0.9757,0.24555,0.15482,0.81066,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2013.46,0.47305,0.32934,0.96342,0.99834,0.99247,0.99498,0.97776,0.24307,0.15574,0.8092,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2058.63,0.4716,0.33324,0.96079,0.99595,0.99422,0.99498,0.97502,0.24418,0.15285,0.81184,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2103.59,0.46387,0.32425,0.95888,0.99793,0.99288,0.99499,0.97826,0.24027,0.15367,0.80654,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2148.42,0.46212,0.32236,0.95676,0.99587,0.99492,0.99495,0.97841,0.23513,0.1518,0.80438,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2193.65,0.45716,0.32033,0.95693,0.99546,0.99557,0.99498,0.9788,0.2381,0.14913,0.80528,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2238.81,0.46335,0.31924,0.95822,0.99603,0.99464,0.99498,0.97847,0.23171,0.14635,0.80387,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2283.16,0.46321,0.32136,0.95579,0.9952,0.99546,0.99496,0.9792,0.23153,0.14483,0.80464,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2327.78,0.45365,0.31744,0.95284,0.99638,0.99422,0.99497,0.97978,0.23057,0.14445,0.80443,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2372.58,0.45301,0.31033,0.95073,0.9967,0.99535,0.99498,0.97997,0.23261,0.14522,0.80347,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2417.37,0.45547,0.31254,0.95358,0.99538,0.99381,0.99492,0.97976,0.22963,0.1427,0.80185,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2462.35,0.45371,0.31201,0.9536,0.99669,0.9927,0.99495,0.98185,0.22564,0.14255,0.80108,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2507.93,0.44241,0.30691,0.94483,0.99537,0.99546,0.99498,0.98039,0.22762,0.14061,0.8019,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2552.73,0.44686,0.30591,0.95268,0.99587,0.99426,0.99498,0.98052,0.22634,0.13913,0.79996,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2598.16,0.43953,0.30211,0.94373,0.99731,0.99505,0.99493,0.98012,0.22579,0.13854,0.80092,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2643.55,0.45132,0.30719,0.95356,0.99782,0.99464,0.99499,0.98183,0.22419,0.14013,0.80045,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2688.78,0.44095,0.30081,0.94793,0.99711,0.99487,0.99499,0.98123,0.22269,0.13711,0.79985,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2734.12,0.43397,0.29768,0.94415,0.99722,0.99505,0.99498,0.98108,0.22306,0.13342,0.79913,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2778.78,0.43879,0.29588,0.94901,0.9967,0.99537,0.99498,0.9815,0.22325,0.13453,0.79907,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2824.32,0.43459,0.29456,0.94703,0.99576,0.99587,0.995,0.98062,0.2224,0.13293,0.79876,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2869.1,0.43366,0.28979,0.94781,0.99743,0.99505,0.99499,0.98156,0.22147,0.13254,0.79787,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2914.22,0.43346,0.29086,0.94417,0.99587,0.99457,0.99498,0.98156,0.22062,0.1319,0.798,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2959.1,0.4334,0.29181,0.94639,0.9966,0.99546,0.99498,0.98194,0.21888,0.13251,0.79688,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3003.62,0.42546,0.28758,0.94372,0.99711,0.99475,0.99497,0.98355,0.2162,0.12971,0.79554,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3048.67,0.43065,0.29192,0.94469,0.99834,0.99251,0.99499,0.98214,0.21537,0.1294,0.79492,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3093.52,0.42191,0.2827,0.93817,0.99669,0.99455,0.99499,0.9831,0.21657,0.12886,0.79612,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3138.66,0.42083,0.2794,0.93885,0.99659,0.99587,0.99499,0.98335,0.21552,0.12867,0.79459,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3183.79,0.41402,0.27918,0.93683,0.99546,0.99486,0.995,0.98374,0.21395,0.12702,0.79457,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3228.9,0.4197,0.28052,0.94196,0.99628,0.99418,0.995,0.98289,0.21361,0.12623,0.79474,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3273.92,0.41118,0.27225,0.93589,0.99813,0.99464,0.995,0.98337,0.21376,0.12547,0.79518,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3318.87,0.41654,0.27701,0.93653,0.99793,0.99532,0.99499,0.98324,0.21389,0.12663,0.79489,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3363.96,0.40941,0.27312,0.93419,0.99693,0.99629,0.99499,0.98335,0.21381,0.12496,0.79509,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
