epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.2211,0.7388,3.09376,1.13284,0.40814,0.61269,0.50567,0.44821,0.45457,1.64219,0.93042,0.00996212,0.00332071,0.00996212,0.00332071,0.00996212,0.00332071,0.00996212,0.00332071
2,112.65,0.74958,1.79274,1.08782,0.70042,0.69436,0.77099,0.67458,0.50825,1.33052,0.95998,0.0197645,0.00658817,0.0197645,0.00658817,0.0197645,0.00658817,0.0197645,0.00658817
3,156.15,0.81402,1.54798,1.11748,0.6112,0.50044,0.54498,0.4231,0.7768,1.73122,1.15542,0.0293689,0.00978962,0.0293689,0.00978962,0.0293689,0.00978962,0.0293689,0.00978962
4,199.319,0.88145,1.38029,1.1497,0.45228,0.54102,0.47392,0.37743,0.77027,1.85425,1.14477,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,244.571,0.81106,1.12044,1.10778,0.86577,0.79663,0.89452,0.78108,0.55026,0.7307,0.98081,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,290.444,0.75964,0.9857,1.08287,0.77821,0.74574,0.85166,0.73793,0.54869,0.8513,0.98402,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,335.882,0.72187,0.87802,1.0642,0.91574,0.8901,0.95706,0.87138,0.44352,0.49352,0.91237,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,380.953,0.69437,0.82481,1.05432,0.84389,0.77741,0.87741,0.78605,0.4992,0.73461,0.95988,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,426.249,0.67903,0.79305,1.04733,0.88057,0.84313,0.93326,0.85619,0.42287,0.62085,0.9088,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,471.417,0.65521,0.74275,1.03361,0.80268,0.82935,0.90167,0.82238,0.43568,0.70239,0.92376,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,516.792,0.63955,0.71009,1.02647,0.91215,0.9217,0.96656,0.90613,0.3659,0.41769,0.874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,562.356,0.63002,0.67667,1.02125,0.95037,0.922,0.97449,0.90867,0.38633,0.38878,0.88602,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,607.991,0.61498,0.66431,1.01641,0.94478,0.91148,0.97539,0.92015,0.36174,0.38943,0.86731,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,653.521,0.6032,0.63613,1.0086,0.94962,0.92899,0.98116,0.91676,0.37058,0.35783,0.87169,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,699.436,0.58888,0.62711,1.00539,0.95053,0.92857,0.97947,0.92402,0.3499,0.34729,0.85763,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,745.72,0.5893,0.61469,1.00351,0.91418,0.903,0.96573,0.91246,0.34854,0.44888,0.86837,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,791.596,0.58396,0.60136,1.00192,0.95105,0.93588,0.97552,0.92683,0.33985,0.33938,0.85418,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,836.892,0.57609,0.59273,0.9999,0.94714,0.92801,0.98176,0.92893,0.34161,0.35272,0.86226,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,882.51,0.57008,0.57944,0.99663,0.96912,0.94391,0.98627,0.93987,0.32944,0.29543,0.85162,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
