epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,312.068,0.53132,2.27406,1.05436,0.96735,0.93977,0.98588,0.91348,0.36773,1.13447,0.8953,0.00199736,0.000665786,0.00199736,0.000665786,0.00199736,0.000665786,0.00199736,0.000665786
2,530.737,0.39929,1.14358,0.92195,0.9808,0.98699,0.99359,0.93539,0.32683,0.71187,0.85609,0.00360162,0.00120054,0.00360162,0.00120054,0.00360162,0.00120054,0.00360162,0.00120054
3,727.54,0.38487,0.86395,0.9061,0.99577,0.98182,0.9944,0.93204,0.34744,0.47197,0.86579,0.00480988,0.00160329,0.00480988,0.00160329,0.00480988,0.00160329,0.00480988,0.00160329
4,875.922,0.38369,0.69621,0.90026,0.99198,0.98361,0.99447,0.94118,0.32549,0.40508,0.85035,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,1029.09,0.35492,0.55969,0.88193,0.992,0.98659,0.99477,0.94679,0.30607,0.3595,0.84147,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,1151,0.34311,0.48292,0.87158,0.99741,0.99659,0.99494,0.95548,0.292,0.31982,0.83147,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,1265.98,0.32475,0.42823,0.86221,0.99317,0.99128,0.99482,0.9567,0.28364,0.28694,0.83158,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,1408.25,0.31071,0.38884,0.85792,0.98981,0.99302,0.99437,0.95726,0.27526,0.25948,0.82057,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,1574.7,0.29259,0.35818,0.84997,0.99692,0.99205,0.99493,0.96319,0.26542,0.23148,0.82005,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,1744.05,0.28282,0.34013,0.84584,0.99589,0.99545,0.99495,0.96668,0.25403,0.21471,0.81696,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
